EN,LA,Formal,Article
Bread,خبز,2,none
Water,ماء,2,none
Apple,تفاحة,2,none
Days,أيام,2,none
Monday,يوم الاثنين,2,none
Tuesday,يوم الثلاثاء,2,none
Wednesday,يوم الأربعاء,2,none
Thursday,يوم الخميس,2,none
Friday,يوم الجمعة,2,none
Saturday,يوم السبت,2,none
Sunday,يوم الأحد,2,none
Months,شهور,2,none
January,يناير,2,none
February,فبراير,2,none
March,يمشي,2,none
April,أبريل,2,none
May,مايو,2,none
June,يونيه,2,none
July,يوليو,2,none
August,أغسطس,2,non2
September,سبتمبر,2,none
October,اكتوبر,2,none
November,نوفمبر,2,none
December,ديسمبر,2,none
Colours,ألوان,2,ال
Black,أسود,2,none
Blue,أزرق,2,none
Brown,بني,2,none
Gray,رمادي,2,none
Green,أخضر,2,none
Orange,البرتقالي,2,none
Purple,أرجواني,2,none
Red,أحمر,2,none
White,أبيض,2,none
Yellow,الأصفر,2,none
Numbers,أعداد,2,none
One,واحد,2,none
Two,اثنين,2,none
Three,ثلاثة,2,none
Four,أربعة,2,none
Five,خمسة,2,none
Six,ستة,2,none
Seven,سبعة,2,none
Eight,ثمانية,2,none
Nine,تسع,2,none
Ten,عشرة,2,none
Eleven,أحد عشر,2,none
Twelve,اثني عشر,2,none
Thirteen,ثلاثة عشر,2,none
Fourteen,أربعة عشرة,2,none
Fifteen,خمسة عشر,2,none
Sixteen,السادس عشر,2,none
Seventeen,سبعة عشر,2,none
Eighteen,ثمانية عشر,2,none
Nineteen,تسعة عشر,2,none
Twenty,عشرين,2,none
Thirty,ثلاثون,2,none
Forty,أربعين,2,none
Fifty,خمسون,2,none
Sixty,ستون,2,none
Seventy,سبعون,2,none
Eighty,ثمانون,2,none
Ninety,تسعين,2,none
Hundred,مائة,2,none
Afghanistan,أفغانستان,2,none
Albania,ألبانيا,2,none
Algeria,الجزائر,2,none
Argentina,الأرجنتين,2,none
Armenia,أرمينيا,2,none
Australia,أستراليا,2,none
Austria,النمسا,2,none
Azerbaijan,أذربيجان,2,none
Bahrain,البحرين,2,none
Bangladesh,بنغلاديش,2,none
Belarus,بيلاروسيا,2,none
Belgium,بلجيكا,2,none
Brazil,البرازيل,2,none
Bulgaria,بلغاريا,2,none
Canada,كندا,2,none
China,الصين,2,none
Cuba,كوبا,2,none
Croatia,كرواتيا,2,none
Czechia,الجمهورية التشيكية,2,none
Denmark,الدنمارك,2,none
Egypt,مصر,2,none
England,إنكلترا,2,none
Estonia,إستونيا,2,none
Finland,فنلندا,2,none
France,فرنسا,2,none
Germany,ألمانيا,2,none
UK,المملكة المتحدة,2,none
Greece,اليونان,2,none
Iceland,أيسلندا,2,none
India,الهند,2,none
Ireland,أيرلندا,2,none
Italy,إيطاليا,2,none
Jamaica,جامايكا,2,none
Japan,اليابان,2,none
Kenya,كينيا,2,none
Lithuania,ليتوانيا,2,none
Mexico,المكسيك,2,none
Monaco,موناكو,2,none
Morocco,المغرب,2,none
Netherlands,هولندا,2,none
Norway,النرويج,2,none
Poland,بولندا,2,none
Portugal,البرتغال,2,none
Romania,رومانيا,2,none
Saudi Arabia,المملكة العربية السعودية,2,none
Scotland,اسكتلندا,2,none
Slovakia,سلوفاكيا,2,none
South Korea,كوريا الجنوبية,2,none
Spain,إسبانيا,2,none
Sweden,السويد,2,none
Switzerland,سويسرا,2,none
Syria,سوريا,2,none
Turkey,تركيا,2,none
Ukraine,أوكرانيا,2,none
United Arab Emirates,الإمارات العربية المتحدة,2,none
United States,الولايات المتحدة,2,none
Vatican City,مدينة الفاتيكان,2,none
Yemen,اليمن,2,none
