EN,LA,Formal,Article
Afghanistan,أفغانستان,2,none
Albania,ألبانيا,2,none
Algeria,الجزائر,2,none
Argentina,الأرجنتين,2,none
Armenia,أرمينيا,2,none
Australia,أستراليا,2,none
Austria,النمسا,2,none
Azerbaijan,أذربيجان,2,none
Bahrain,البحرين,2,none
Bangladesh,بنغلاديش,2,none
Belarus,بيلاروسيا,2,none
Belgium,بلجيكا,2,none
Brazil,البرازيل,2,none
Bulgaria,بلغاريا,2,none
Canada,كندا,2,none
China,الصين,2,none
Cuba,كوبا,2,none
Croatia,كرواتيا,2,none
Czechia,الجمهورية التشيكية,2,none
Denmark,الدنمارك,2,none
Egypt,مصر,2,none
England,إنكلترا,2,none
Estonia,إستونيا,2,none
Finland,فنلندا,2,none
France,فرنسا,2,none
Germany,ألمانيا,2,none
UK,المملكة المتحدة,2,none
Greece,اليونان,2,none
Iceland,أيسلندا,2,none
India,الهند,2,none
Ireland,أيرلندا,2,none
Italy,إيطاليا,2,none
Jamaica,جامايكا,2,none
Japan,اليابان,2,none
Kenya,كينيا,2,none
Lithuania,ليتوانيا,2,none
Mexico,المكسيك,2,none
Monaco,موناكو,2,none
Morocco,المغرب,2,none
Netherlands,هولندا,2,none
Norway,النرويج,2,none
Poland,بولندا,2,none
Portugal,البرتغال,2,none
Romania,رومانيا,2,none
Saudi Arabia,المملكة العربية السعودية,2,none
Scotland,اسكتلندا,2,none
Slovakia,سلوفاكيا,2,none
South Korea,كوريا الجنوبية,2,none
Spain,إسبانيا,2,none
Sweden,السويد,2,none
Switzerland,سويسرا,2,none
Syria,سوريا,2,none
Turkey,تركيا,2,none
Ukraine,أوكرانيا,2,none
United Arab Emirates,الإمارات العربية المتحدة,2,none
United States,الولايات المتحدة,2,none
Vatican City,مدينة الفاتيكان,2,none
Yemen,اليمن,2,none
