EN,LA,Formal,Article
Numbers,أعداد,2,none
One,واحد,2,none
Two,اثنين,2,none
Three,ثلاثة,2,none
Four,أربعة,2,none
Five,خمسة,2,none
Six,ستة,2,none
Seven,سبعة,2,none
Eight,ثمانية,2,none
Nine,تسع,2,none
Ten,عشرة,2,none
Eleven,أحد عشر,2,none
Twelve,اثني عشر,2,none
Thirteen,ثلاثة عشر,2,none
Fourteen,أربعة عشرة,2,none
Fifteen,خمسة عشر,2,none
Sixteen,السادس عشر,2,none
Seventeen,سبعة عشر,2,none
Eighteen,ثمانية عشر,2,none
Nineteen,تسعة عشر,2,none
Twenty,عشرين,2,none
Thirty,ثلاثون,2,none
Forty,أربعين,2,none
Fifty,خمسون,2,none
Sixty,ستون,2,none
Seventy,سبعون,2,none
Eighty,ثمانون,2,none
Ninety,تسعين,2,none
Hundred,مائة,2,none
