EN,LA,Formal,Article
Food,Essen,2,das
Food,Lebensmittel,2,das
Fruit,Obst,2,das
Vegetables,Gemüse,2,die
Bread,Brot,2,das
Water,Wasser,2,das
Apple,Apfel,2,das
Pineapple,Ananas,2,die
Strawberry,Erdbeere,2,die
Banana,Banane,2,die
Hazelnut,Haselnuss,2,die
Cherry,Kirsche,2,die
Apricot,Aprikose,2,die
Pear,Birne,2,die
Peanut,Erdnuss,2,die
Mango,Mango,2,die
Almond,Mandel,2,die
Kiwi,Kiwi,2,die
Coconut,Kokosnuss,2,die
Melon,Melone,2,die
Tangerine,Mandarine,2,die
Fig,Feige,2,die
Grapes,Weintraube,2,die
Lemon,Zitrone,2,die
Peach,Pfirsich,2,die
Orange,Orange,2,die
Chestnut,Kastanie,2,die
Plum,Pflaume,2,die
Raspberry,Himbeere,2,die
Days,Tage,2,die
Monday,Montag,2,der
Tuesday,Dienstag,2,der
Wednesday,Mittwoch,2,der
Thursday,Donnerstag,2,der
Friday,Freitag,2,der
Saturday,Samstag,2,der
Sunday,Sonntag,2,der
Morning,Morgen,2,der
Afternoon,Nachmittag,2,der
Evening,Abend,2,der
Night,Nacht,2,die
Months,Monate,2,die
January,Januar,2,der
February,Februar,2,der
March,März,2,der
April,April,2,der
May,Mai,2,der
June,Juni,2,der
July,Juli,2,der
August,August,2,der
September,September,2,der
October,Oktober,2,der
November,November,2,der
December,Dezember,2,der
Colours,Farben,2,die
Black,Schwarz,2,none
Blue,Blau,2,none
Brown,Braun,2,none
Gray,Grau,2,none
Green,Grün,2,none
Orange,Orange,2,none
Purple,Violett,2,none
Red,Rot,2,none
White,Weiss,2,none
Yellow,Gelb,2,none
Numbers,Zahlen,2,die
One,Eins,2,none
Two,Zwei,2,none
Three,Drei,2,none
Four,Vier,2,none
Five,Fünf,2,none
Six,Sechs,2,none
Seven,Sieben,2,none
Eight,Acht,2,none
Nine,Neun,2,none
Ten,Zehn,2,none
Eleven,Elf,2,none
Twelve,Zwölf,2,none
Thirteen,Dreizehn,2,none
Fourteen,Vierzehn,2,none
Fifteen,Fünfzehn,2,none
Sixteen,Sechzehn,2,none
Seventeen,Siebzehn,2,none
Eighteen,Achtzehn,2,none
Nineteen,Neunzehn,2,none
Twenty,Zwanzig,2,none
Thirty,Dreißig,2,none
Forty,Vierzig,2,none
Fifty,Fünfzig,2,none
Sixty,Sechzig,2,none
Seventy,Siebzig,2,none
Eighty,Achtzig,2,none
Ninety,Neunzig,2,none
Hundred,Hundert,2,none
Thousand,Tausend,2,none
Million,Million,2,none
Billion,Milliarde,2,none
Trillion,Billion,2,none
Quadrillion,Billiarde,2,none
Quintillion,Trillion,2,none
Afghanistan,Afghanistan,2,none
Albania,Albanien,2,none
Algeria,Algerien,2,none
Argentina,Argentinien,2,none
Armenia,Armenien,2,none
Australia,Australien,2,none
Austria,Österreich,2,none
Azerbaijan,Aserbaidschan,2,none
Bahrain,Bahrein,2,none
Bangladesh,Bangladesch,2,none
Belarus,Belarus,2,none
Belgium,Belgien,2,none
Brazil,Brasilien,2,none
Bulgaria,Bulgarien,2,none
Canada,Kanada,2,none
China,China,2,none
Cuba,Kuba,2,none
Croatia,Kroatien,2,none
Czechia,Tschechien,2,none
Denmark,Dänemark,2,none
Egypt,Ägypten,2,none
England,England,2,none
Estonia,Estland,2,none
Finland,Finnland,2,none
France,Frankreich,2,none
Germany,Deutschland,2,none
UK,Vereinigtes Königreich,2,none
Greece,Griechenland,2,none
Iceland,Island,2,none
India,Indien,2,none
Ireland,Irland,2,none
Italy,Italien,2,none
Jamaica,Jamaika,2,none
Japan,Japan,2,none
Kenya,Kenia,2,none
Lithuania,Litauen,2,none
Mexico,Mexiko,2,none
Monaco,Monaco,2,none
Morocco,Marokko,2,none
Netherlands,Niederlande,2,die
Norway,Norwegen,2,none
Poland,Polen,2,none
Portugal,Portugal,2,none
Romania,Rumänien,2,none
Saudi Arabia,Saudi-Arabien,2,none
Scotland,Schottland,2,none
Slovakia,Slowakien,2,none
South Africa,Südafrika,2,none
Spain,Spanien,2,none
Sweden,Schweden,2,none
Switzerland,Schweiz,2,die
Syria,Syrien,2,none
Turkey,Türkei,2,die
Ukraine,Ukraine,2,die
United Arab Emirates,Vereinigte Arabische Emirate,2,die
United States,Vereinigte Staaten,2,die
Vatican City,Vatikanstadt,2,none
Yemen,Jemen,2,der
