EN,LA,Formal,Article
Afghanistan,Afghanistan,2,none
Albania,Albanien,2,none
Algeria,Algerien,2,none
Argentina,Argentinien,2,none
Armenia,Armenien,2,none
Australia,Australien,2,none
Austria,Österreich,2,none
Azerbaijan,Aserbaidschan,2,none
Bahrain,Bahrein,2,none
Bangladesh,Bangladesch,2,none
Belarus,Belarus,2,none
Belgium,Belgien,2,none
Brazil,Brasilien,2,none
Bulgaria,Bulgarien,2,none
Canada,Kanada,2,none
China,China,2,none
Cuba,Kuba,2,none
Croatia,Kroatien,2,none
Czechia,Tschechien,2,none
Denmark,Dänemark,2,none
Egypt,Ägypten,2,none
England,England,2,none
Estonia,Estland,2,none
Finland,Finnland,2,none
France,Frankreich,2,none
Germany,Deutschland,2,none
UK,Vereinigtes Königreich,2,none
Greece,Griechenland,2,none
Iceland,Island,2,none
India,Indien,2,none
Ireland,Irland,2,none
Italy,Italien,2,none
Jamaica,Jamaika,2,none
Japan,Japan,2,none
Kenya,Kenia,2,none
Lithuania,Litauen,2,none
Mexico,Mexiko,2,none
Monaco,Monaco,2,none
Morocco,Marokko,2,none
Netherlands,Niederlande,2,die
Norway,Norwegen,2,none
Poland,Polen,2,none
Portugal,Portugal,2,none
Romania,Rumänien,2,none
Saudi Arabia,Saudi-Arabien,2,none
Scotland,Schottland,2,none
Slovakia,Slowakien,2,none
South Africa,Südafrika,2,none
Spain,Spanien,2,none
Sweden,Schweden,2,none
Switzerland,Schweiz,2,die
Syria,Syrien,2,none
Turkey,Türkei,2,die
Ukraine,Ukraine,2,die
United Arab Emirates,Vereinigte Arabische Emirate,2,die
United States,Vereinigte Staaten,2,die
Vatican City,Vatikanstadt,2,none
Yemen,Jemen,2,der
