EN,LA,Formal,Article
Food,Essen,2,das
Food,Lebensmittel,2,das
Fruit,Obst,2,das
Vegetables,Gemüse,2,die
Bread,Brot,2,das
Water,Wasser,2,das
Apple,Apfel,2,das
Pineapple,Ananas,2,die
Strawberry,Erdbeere,2,die
Banana,Banane,2,die
Hazelnut,Haselnuss,2,die
Cherry,Kirsche,2,die
Apricot,Aprikose,2,die
Pear,Birne,2,die
Peanut,Erdnuss,2,die
Mango,Mango,2,die
Almond,Mandel,2,die
Kiwi,Kiwi,2,die
Coconut,Kokosnuss,2,die
Melon,Melone,2,die
Tangerine,Mandarine,2,die
Fig,Feige,2,die
Grapes,Weintraube,2,die
Lemon,Zitrone,2,die
Peach,Pfirsich,2,die
Orange,Orange,2,die
Chestnut,Kastanie,2,die
Plum,Pflaume,2,die
Raspberry,Himbeere,2,die
