EN,LA,Formal,Article
Numbers,Zahlen,2,die
One,Ein,2,none
Two,Zwei,2,none
Three,Drei,2,none
Four,Vier,2,none
Five,Fünf,2,none
Six,Sechs,2,none
Seven,Sieben,2,none
Eight,Acht,2,none
Nine,Neun,2,none
Ten,Zehn,2,none
Eleven,Elf,2,none
Twelve,Zwölf,2,none
Thirteen,Dreizehn,2,none
Fourteen,Vierzehn,2,none
Fifteen,Fünfzehn,2,none
Sixteen,Sechzehn,2,none
Seventeen,Siebzehn,2,none
Eighteen,Achtzehn,2,none
Nineteen,Neunzehn,2,none
Twenty,Zwanzig,2,none
Thirty,Dreißig,2,none
Forty,Vierzig,2,none
Fifty,Fünfzig,2,none
Sixty,Sechzig,2,none
Seventy,Siebzig,2,none
Eighty,Achtzig,2,none
Ninety,Neunzig,2,none
Hundred,Hundert,2,none
