EN,LA,Formal,Article
Numbers,Zahlen,2,die
One,Ein,2,none
Two,Zwei,2,none
Three,Drei,2,none
Four,Vier,2,none
Five,Fünf,2,none
Six,Sechs,2,none
Seven,Sieben,2,none
Eight,Acht,2,none
Nine,Neun,2,none
Ten,Zehn,2,none
Eleven,Elf,2,none
Twelve,Zwölf,2,none
Thirteen,Dreizehn,2,none
Fourteen,Vierzehn,2,none
Fifteen,Fünfzehn,2,none
Sixteen,Sechzehn,2,none
Seventeen,Siebzehn,2,none
Eighteen,Achtzehn,2,none
Nineteen,Neunzehn,2,none
Twenty,Zwanzig,2,none
Twenty one,Einundzwanzig,2,none
Twenty two,Zweiundzwanzig,2,none
Twenty three,Dreiundzwanzig,2,none
Twenty four,Vierundzwanzig,2,none
Twenty five,Fünfundzwanzig,2,none
Twenty six,Sechsundzwanzig,2,none
Twenty seven,Siebenundzwanzig,2,none
Twenty eight,Achtundzwanzig,2,none
Twenty nine,Neunundzwanzig,2,none
Thirty,Dreißig,2,none
Thirty one,Einunddreißig,2,none
Thirty two,Zweiunddreißig,2,none
Thirty three,Dreiunddreißig,2,none
Thirty four,Vierunddreißig,2,none
Thirty five,Fünfunddreißig,2,none
Thirty six,Sechsunddreißig,2,none
Thirty seven,Siebenunddreißig,2,none
Thirty eight,Achtunddreißig,2,none
Thirty nine,Neununddreißig,2,none
Forty,Vierzig,2,none
Forty one,Einundvierzig,2,none
Forty two,Zweiundvierzig,2,none
Forty three,Dreiundvierzig,2,none
Forty four,Vierundvierzig,2,none
Forty five,Fünfundvierzig,2,none
Forty six,Sechsundvierzig,2,none
Forty seven,Siebenundvierzig,2,none
Forty eight,Achtundvierzig,2,none
Forty nine,Neunundvierzig,2,none
Fifty,Fünfzig,2,none
Fifty one,Einundfünfzig,2,none
Fifty two,Zweiundfünfzig,2,none
Fifty three,Dreiundfünfzig,2,none
Fifty four,Vierundfünfzig,2,none
Fifty five,Fünfundfünfzig,2,none
Fifty six,Sechsundfünfzig,2,none
Fifty seven,Siebenundfünfzig,2,none
Fifty eight,Achtundfünfzig,2,none
Fifty nine,Neunundfünfzig,2,none
Sixty,Sechzig,2,none
Sixty one,Einundsechzig,2,none
Sixty two,Zweiundsechzig,2,none
Sixty three,Dreiundsechzig,2,none
Sixty four,Vierundsechzig,2,none
Sixty five,Fünfundsechzig,2,none
Sixty six,Sechsundsechzig,2,none
Sixty seven,Siebenundsechzig,2,none
Sixty eight,Achtundsechzig,2,none
Sixty nine,Neunundsechzig,2,none
Seventy,Siebzig,2,none
Seventy one,Einundsiebzig,2,none
Seventy two,Zweiundsiebzig,2,none
Seventy three,Dreiundsiebzig,2,none
Seventy four,Vierundsiebzig,2,none
Seventy five,Fünfundsiebzig,2,none
Seventy six,Sechsundsiebzig,2,none
Seventy seven,Siebenundsiebzig,2,none
Seventy eight,Achtundsiebzig,2,none
Seventy nine,Neunundsiebzig,2,none
Eighty,Achtzig,2,none
Eighty one,Einundachtzig,2,none
Eighty two,Zweiundachtzig,2,none
Eighty three,Dreiundachtzig,2,none
Eighty four,Vierundachtzig,2,none
Eighty five,Fünfundachtzig,2,none
Eighty six,Sechsundachtzig,2,none
Eighty seven,Siebenundachtzig,2,none
Eighty eight,Achtundachtzig,2,none
Eighty nine,Neunundachtzig,2,none
Ninety,Neunzig,2,none
Ninety one,Einundneunzig,2,none
Ninety two,Zweiundneunzig,2,none
Ninety three,Dreiundneunzig,2,none
Ninety four,Vierundneunzig,2,none
Ninety five,Fünfundneunzig,2,none
Ninety six,Sechsundneunzig,2,none
Ninety seven,Siebenundneunzig,2,none
Ninety eight,Achtundneunzig,2,none
Ninety nine,Neunundneunzig,2,none
Hundred,Hundert,2,none
