EN,LA,Formal,Article
Afghanistan,Afganistán,2,none
Albania,Albania,2,none
Algeria,Argelia,2,none
Argentina,Argentina,2,none
Armenia,Armenia,2,none
Australia,Australia,2,none
Austria,Austria,2,none
Azerbaijan,Azerbaiyán,2,none
Bahrain,Baréin,2,none
Bangladesh,Bangladesh,2,none
Belarus,Bielorrusia,2,none
Belgium,Bélgica,2,none
Brazil,Brasil,2,none
Bulgaria,Bulgaria,2,none
Canada,Canadá,2,none
China,China,2,none
Cuba,Cuba,2,none
Croatia,Croacia,2,none
Czechia,Chequia,2,none
Denmark,Dinamarca,2,none
Egypt,Egipto,2,none
England,Inglaterra,2,none
Estonia,Estonia,2,none
Finland,Finlandia,2,none
France,Francia,2,none
Germany,Alemania,2,none
UK,Reino Unido,2,none
Greece,Grecia,2,none
Iceland,Islandia,2,none
India,India,2,none
Ireland,Irlanda,2,none
Italy,Italia,2,none
Jamaica,Jamaica,2,none
Japan,Japón,2,none
Kenya,Kenia,2,none
Lithuania,Lituania,2,none
Mexico,México,2,none
Monaco,Mónaco,2,none
Morocco,Marruecos,2,none
Netherlands,Países Bajos,2,none
Norway,Noruega,2,none
Poland,Polonia,2,none
Portugal,Portugal,2,none
Romania,Rumania,2,none
Saudi Arabia,Arabia Saudita,2,none
Scotland,Escocia,2,none
Slovakia,Eslovaquia,2,none
South Africa,Sudáfrica,2,none
Spain,España,2,none
Sweden,Suecia,2,none
Switzerland,Suiza,2,none
Syria,Siria,2,none
Turkey,Turquía,2,none
Ukraine,Ucrania,2,none
United Arab Emirates,Emiratos Árabes Unidos,2,none
United States,Estados Unidos,2,none
Vatican City,Ciudad del Vaticano,2,none
Yemen,Yemen,2,none
