EN,LA,Formal,Article
One,Una,2,none
Two,Dos,2,none
Three,Tres,2,none
Four,Cuatro,2,none
Five,Cinco,2,none
Six,Seis,2,none
Seven,Siete,2,none
Eight,Ocho,2,none
Nine,Nueve,2,none
Ten,Diez,2,none
Eleven,Once,2,none
Twelve,Doce,2,none
Thirteen,Trece,2,none
Fourteen,Catorce,2,none
Fifteen,Quince,2,none
Sixteen,Dieciséis,2,none
Seventeen,Diecisiete,2,none
Eighteen,Dieciocho,2,none
Nineteen,Diecinueve,2,none
Twenty,Veinte,2,none
Thirty,Treinta,2,none
Forty,Cuarenta,2,none
Fifty,Cincuenta,2,none
Sixty,Sesenta,2,none
Seventy,Setenta,2,none
Eighty,Ochenta,2,none
Ninety,Noventa,2,none
Hundred,Ciento,2,none
