EN,LA,Formal,Article
One,Uno,2,none
Two,Dos,2,none
Three,Tres,2,none
Four,Cuatro,2,none
Five,Cinco,2,none
Six,Seis,2,none
Seven,Siete,2,none
Eight,Ocho,2,none
Nine,Nueve,2,none
Ten,Diez,2,none
Eleven,Once,2,none
Twelve,Doce,2,none
Thirteen,Trece,2,none
Fourteen,Catorce,2,none
Fifteen,Quince,2,none
Sixteen,Dieciséis,2,none
Seventeen,Diecisiete,2,none
Eighteen,Dieciocho,2,none
Nineteen,Diecinueve,2,none
Twenty,Veinte,2,none
Twenty one,Veintiún,2,none
Twenty two,Veintidós,2,none
Twenty three,Veintitres,2,none
Twenty four,Veinticuatro,2,none
Twenty five,Veinticinco,2,none
Twenty six,Veintiseis,2,none
Twenty seven,Veintisiete,2,none
Twenty eight,Veintiocho,2,none
Twenty nine,Veintinueve,2,none
Thirty,Treinta,2,none
Thirty one,Treinta y uno,2,none
Thirty two,Treinta y dos,2,none
Thirty three,Treinta y tres,2,none
Thirty four,Treinta y cuatro,2,none
Thirty five,Treinta y cinco,2,none
Thirty six,Treinta y seis,2,none
Thirty seven,Treinta y siete,2,none
Thirty eight,Treinta y ocho,2,none
Thirty nine,Treinta y nueve,2,none
Forty,Cuarenta,2,none
Forty one,Cuarenta y uno,2,none
Forty two,Cuarenta y dos,2,none
Forty three,Cuarenta y tres,2,none
Forty four,Cuarenta y cuatro,2,none
Forty five,Cuarenta y cinco,2,none
Forty six,Cuarenta y seis,2,none
Forty seven,Cuarenta y siete,2,none
Forty eight,Cuarenta y ocho,2,none
Forty nine,Cuarenta y nueve,2,none
Fifty,Cincuenta,2,none
Fifty one,Cincuenta y uno,2,none
Fifty two,Cincuenta y dos,2,none
Fifty three,Cincuenta y tres,2,none
Fifty four,Cincuenta y cuatro,2,none
Fifty five,Cincuenta y cinco,2,none
Fifty six,Cincuenta y seis,2,none
Fifty seven,Cincuenta y siete,2,none
Fifty eight,Cincuenta y ocho,2,none
Fifty nine,Cincuenta y nueve,2,none
Sixty,Sesenta,2,none
Sixty one,Sesenta y uno,2,none
Sixty two,Sesenta y dos,2,none
Sixty three,Sesenta y tres,2,none
Sixty four,Sesenta y cuatro,2,none
Sixty five,Sesenta y cinco,2,none
Sixty six,Sesenta y seis,2,none
Sixty seven,Sesenta y siete,2,none
Sixty eight,Sesenta y ocho,2,none
Sixty nine,Sesenta y nueve,2,none
Seventy,Setenta,2,none
Seventy one,Setenta y uno,2,none
Seventy two,Setenta y dos,2,none
Seventy three,Setenta y tres,2,none
Seventy four,Setenta y cuatro,2,none
Seventy five,Setenta y cinco,2,none
Seventy six,Setenta y seis,2,none
Seventy seven,Setenta y siete,2,none
Seventy eight,Setenta y ocho,2,none
Seventy nine,Setenta y nueve,2,none
Eighty,Ochenta,2,none
Eighty one,Ochenta y uno,2,none
Eighty two,Ochenta y dos,2,none
Eighty three,Ochenta y tres,2,none
Eighty four,Ochenta y cuatro,2,none
Eighty five,Ochenta y cinco,2,none
Eighty six,Ochenta y seis,2,none
Eighty seven,Ochenta y siete,2,none
Eighty eight,Ochenta y ocho,2,none
Eighty nine,Ochenta y nueve,2,none
Ninety,Noventa,2,none
Ninety one,Noventa y uno,2,none
Ninety two,Noventa y dos,2,none
Ninety three,Noventa y tres,2,none
Ninety four,Noventa y cuatro,2,none
Ninety five,Noventa y cinco,2,none
Ninety six,Noventa y seis,2,none
Ninety seven,Noventa y siete,2,none
Ninety eight,Noventa y ocho,2,none
Ninety nine,Noventa y nueve,2,none
Hundred,Ciento,2,none
Thousand,Mil,2,none
Million,Millón,2,none
Billion,Mil millones,2,none
Trillion,Billón,2,none
