EN,LA,Formal,Article
Food,nourriture,2,la
Fruit,fruit,2,le
Vegetables,légumes,2,les
Bread,Pain,2,le
Water,eau,2,l'
Apple,pomme,2,la
Pineapple,ananas,2,l'
Strawberry,fraise,2,la
Banana,banane,2,la
Hazelnut,noisette,2,la
Cherry,cerise,2,la
Apricot,abricot,2,l'
Pear,poire,2,la
Peanut,cacahuète,2,la
Mango,mangue,2,la
Almond,amande,2,l'
Kiwi,kiwi,2,le
Coconut,noix de coco,2,la
Melon,melon,2,le
Tangerine,mandarine,2,la
Grapes,raisin,2,none
Lemon,citron,2,le
Peach,pêche,2,la
Orange,orange,2,l'
Chestnut,châtaigne,2,la
Plum,prune,2,la
Raspberry,framboise,2,la
Days,jours,2,les
Monday,Lundi,2,le
Tuesday,Mardi,2,le
Wednesday,Mercredi,2,le
Thursday,Jeudi,2,le
Friday,Vendredi,2,le
Saturday,Samedi,2,le
Sunday,Dimanche,2,le
Morning,matin,2,le
Afternoon,après-midi,2,l'
Evening,soir,2,le
Night,nuit,2,la
Months,mois,2,les
January,Janvier,2,none
February,Février,2,none
March,Mars,2,none
April,Avril,2,none
May,Mai,2,none
June,Juin,2,none
July,Juillet,2,none
August,Août,2,none
September,Septembre,2,none
October,Octobre,2,none
November,Novembre,2,none
December,Décembre,2,none
Colours,couleurs,2,les
Black,noir,2,none
Blue,bleu,2,none
Brown,marron,2,none
Gray,gris,2,none
Green,vert,2,none
Orange,orange,2,none
Purple,violet,2,none
Red,rouge,2,none
White,blanc,2,none
Yellow,jaune,2,none
Numbers,nombres,2,les
One,un,2,none
Two,deux,2,none
Three,trois,2,none
Four,quatre,2,none
Five,cinq,2,none
Six,six,2,none
Seven,sept,2,none
Eight,huit,2,none
Nine,neuf,2,none
Ten,dix,2,none
Eleven,onze,2,none
Twelve,douze,2,none
Thirteen,treize,2,none
Fourteen,quatorze,2,none
Fifteen,quinze,2,none
Sixteen,seize,2,none
Seventeen,dix-sept,2,none
Eighteen,dix-huit,2,none
Nineteen,dix-neuf,2,none
Twenty,vingt,2,none
Thirty,trente,2,none
Forty,quarante,2,none
Fifty,cinquante,2,none
Sixty,soixante,2,none
Seventy,soixante-dix,2,none
Eighty,quatre-vingt,2,none
Ninety,quatre-vingt-dix,2,none
Hundred,cent,2,none
Thousand,mille,2,none
Million,million,2,none
Billion,milliard,2,none
Trillion,mille milliards,2,none
Quadrillion,quadrillion,2,none
Quintillion,quintillion,2,none
Afghanistan,Afghanistan,2,none
Albania,Albanie,2,none
Algeria,Algérie,2,none
Argentina,Argentine,2,none
Armenia,Arménie,2,none
Australia,Australie,2,none
Austria,Autriche,2,l'
Azerbaijan,Azerbaïdjan,2,none
Bahrain,bahreïn,2,none
Bangladesh,Bengladesh,2,none
Belarus,Biélorussie,2,none
Belgium,Belgique,2,none
Brazil,Brésil,2,none
Bulgaria,Bulgarie,2,none
Canada,Canada,2,none
China,Chine,2,none
Cuba,Cuba,2,none
Croatia,Croatie,2,none
Czechia,Tchéquie,2,none
Denmark,Danemark,2,none
Egypt,Egypte,2,none
England,Angleterre,2,none
Estonia,Estonie,2,none
Finland,Finlande,2,none
France,France,2,none
Germany,Allemagne,2,none
UK,Royaume-Uni,2,none
Greece,Grèce,2,none
Iceland,Islande,2,none
India,Inde,2,none
Ireland,Irlande,2,none
Italy,Italie,2,none
Jamaica,Jamaïque,2,none
Japan,Japon,2,none
Kenya,Kenya,2,none
Lithuania,Lituanie,2,none
Mexico,Mexique,2,none
Monaco,Monaco,2,none
Morocco,Maroc,2,none
Netherlands,Pays-Bas,2,none
Norway,Norvège,2,none
Poland,Pologne,2,none
Portugal,Portugal,2,le
Romania,Roumanie,2,none
Saudi Arabia,Arabie Saoudite,2,none
Scotland,Écosse,2,none
Slovakia,Slovaquie,2,none
South Africa,Afrique du Sud,2,none
Spain,Espagne,2,none
Sweden,Suède,2,none
Switzerland,Suisse,2,none
Syria,Syrie,2,none
Turkey,Turquie,2,none
Ukraine,Ukraine,2,none
United Arab Emirates,Emirats Arabes Unis,2,none
United States,États-Unis,2,les
Vatican City,Cité du Vatican,2,none
Yemen,Yémen,2,none
Grass,herbe,2,l'
Tree,arbre,2,l'
Flower,fleur,2,la
Dirt,saleté,2,la
Seed,graine,2,la
Plant pot,pot de plantes,2,le
Watering can,arrosoir,2,l'
Wheelbarrow,brouette,2,la
Hose,tuyau d'arrosage,2,le
Garden gnome,nain de jardin,2,le
Lawn mower,tondeuse à gazon,2,la
Bucket,seau,2,le
