EN,LA,Formal,Article
Afghanistan,Afghanistan,2,none
Albania,Albanie,2,none
Algeria,Algérie,2,none
Argentina,Argentine,2,none
Armenia,Arménie,2,none
Australia,Australie,2,none
Austria,Autriche,2,l'
Azerbaijan,Azerbaïdjan,2,none
Bahrain,bahreïn,2,none
Bangladesh,Bengladesh,2,none
Belarus,Biélorussie,2,none
Belgium,Belgique,2,none
Brazil,Brésil,2,none
Bulgaria,Bulgarie,2,none
Canada,Canada,2,none
China,Chine,2,none
Cuba,Cuba,2,none
Croatia,Croatie,2,none
Czechia,Tchéquie,2,none
Denmark,Danemark,2,none
Egypt,Egypte,2,none
England,Angleterre,2,none
Estonia,Estonie,2,none
Finland,Finlande,2,none
France,France,2,none
Germany,Allemagne,2,none
UK,Royaume-Uni,2,none
Greece,Grèce,2,none
Iceland,Islande,2,none
India,Inde,2,none
Ireland,Irlande,2,none
Italy,Italie,2,none
Jamaica,Jamaïque,2,none
Japan,Japon,2,none
Kenya,Kenya,2,none
Lithuania,Lituanie,2,none
Mexico,Mexique,2,none
Monaco,Monaco,2,none
Morocco,Maroc,2,none
Netherlands,Pays-Bas,2,none
Norway,Norvège,2,none
Poland,Pologne,2,none
Portugal,Portugal,2,le
Romania,Roumanie,2,none
Saudi Arabia,Arabie Saoudite,2,none
Scotland,Écosse,2,none
Slovakia,Slovaquie,2,none
South Africa,Afrique du Sud,2,none
Spain,Espagne,2,none
Sweden,Suède,2,none
Switzerland,Suisse,2,none
Syria,Syrie,2,none
Turkey,Turquie,2,none
Ukraine,Ukraine,2,none
United Arab Emirates,Emirats Arabes Unis,2,none
United States,États-Unis,2,les
Vatican City,Cité du Vatican,2,none
Yemen,Yémen,2,none
