EN,LA,Formal,Article
Food,nourriture,2,la
Fruit,fruit,2,le
Vegetables,légumes,2,les
Bread,Pain,2,le
Water,eau,2,l'
Apple,pomme,2,la
Pineapple,ananas,2,l'
Strawberry,fraise,2,la
Banana,banane,2,la
Hazelnut,noisette,2,la
Cherry,cerise,2,la
Apricot,abricot,2,l'
Pear,poire,2,la
Peanut,cacahuète,2,la
Mango,mangue,2,la
Almond,amande,2,l'
Kiwi,kiwi,2,le
Coconut,noix de coco,2,la
Melon,melon,2,le
Tangerine,mandarine,2,la
Grapes,raisin,2,none
Lemon,citron,2,le
Peach,pêche,2,la
Orange,orange,2,l'
Chestnut,châtaigne,2,la
Plum,prune,2,la
Raspberry,framboise,2,la
