EN,LA,Formal,Article
One,un,2,none
Two,deux,2,none
Three,trois,2,none
Four,quatre,2,none
Five,cinq,2,none
Six,six,2,none
Seven,sept,2,none
Eight,huit,2,none
Nine,neuf,2,none
Ten,dix,2,none
Eleven,onze,2,none
Twelve,douze,2,none
Thirteen,treize,2,none
Fourteen,quatorze,2,none
Fifteen,quinze,2,none
Sixteen,seize,2,none
Seventeen,dix-sept,2,none
Eighteen,dix-huit,2,none
Nineteen,dix-neuf,2,none
Twenty,vingt,2,none
Thirty,trente,2,none
Forty,quarante,2,none
Fifty,cinquante,2,none
Sixty,soixante,2,none
Seventy,soixante-dix,2,none
Eighty,quatre-vingt,2,none
Ninety,quatre-vingt-dix,2,none
Hundred,cent,2,none
Thousand,mille,2,none
Million,million,2,none
Billion,milliard,2,none
Trillion,mille milliards,2,none
Quadrillion,quadrillion,2,none
Quintillion,quintillion,2,none
