EN,LA,Formal,Article
Numbers,Numarlar,2,none
One,Bir,2,none
Two,Iki,2,none
Three,Üç,2,none
Four,Dört,2,none
Five,Beş,2,none
Six,Altı,2,none
Seven,Yedi,2,none
Eight,Sekiz,2,none
Nine,Dokuz,2,none
Ten,On,2,none
Eleven, Onbir,2,none
Twelve, Oniki,2,none
Thirteen, Onüç,2,none
Fourteen, Ondört,2,none
Fifteen,Onbeş,2,none
Sixteen, Onaltı,2,none
Seventeen, Onyedi,2,none
Eighteen,Onsekiz,2,none
Nineteen, Ondokuz,2,none
Twenty,Yirmi,2,none
Thirty,Otuz,2,none
Forty,Kırk,2,none
Fifty,Elli,2,none
Sixty,Atmış,2,none
Seventy,Yetmiş,2,none
Eighty,Seksen,2,none
Ninety,Doksan,2,none
Hundred,Yüz,2,none
