EN,LA,Formal,Article
Numbers,Sayılar,2,none
Zero,Sıfır,2,none
One,Bir,2,none
Two,Iki,2,none
Three,Üç,2,none
Four,Dört,2,none
Five,Beş,2,none
Six,Altı,2,none
Seven,Yedi,2,none
Eight,Sekiz,2,none
Nine,Dokuz,2,none
Ten,On,2,none
Eleven,On bir,2,none
Twelve,On iki,2,none
Thirteen,On üç,2,none
Fourteen,On dört,2,none
Fifteen,On beş,2,none
Sixteen,On altı,2,none
Seventeen,On yedi,2,none
Eighteen,On sekiz,2,none
Nineteen,On dokuz,2,none
Twenty,Yirmi,2,none
Twenty one,Yirmi bir,2,none
Twenty two,Yirmi iki,2,none
Twenty three,Yirmi üç,2,none
Twenty four,Yirmi dört,2,none
Twenty five,Yirmi beş,2,none
Twenty six,Yirmi altı,2,none
Twenty seven,Yirmi yedi,2,none
Twenty eight,Yirmi sekiz,2,none
Twenty nine,Yirmi dokuz,2,none
Thirty,Otuz,2,none
Thirty one,Otuz bir,2,none
Thirty two,Otuz iki,2,none
Thirty three,Otuz üç,2,none
Thirty four,Otuz dört,2,none
Thirty five,Otuz beş,2,none
Thirty six,Otuz altı,2,none
Thirty seven,Otuz yedi,2,none
Thirty eight,Otuz sekiz,2,none
Thirty nine,Otuz dokuz,2,none
Forty,Kırk,2,none
Forty one,Kırk bir,2,none
Forty two,Kırk iki,2,none
Forty three,Kırk üç,2,none
Forty four,Kırk dört,2,none
Forty five,Kırk beş,2,none
Forty six,Kırk altı,2,none
Forty seven,Kırk yedi,2,none
Forty eight,Kırk sekiz,2,none
Forty nine,Kırk dokuz,2,none
Fifty,Elli,2,none
Fifty one,Elli bir,2,none
Fifty two,Elli iki,2,none
Fifty three,Elli üç,2,none
Fifty four,Elli dört,2,none
Fifty five,Elli beş,2,none
Fifty six,Elli altı,2,none
Fifty seven,Elli yedi,2,none
Fifty eight,Elli sekiz,2,none
Fifty nine,Elli dokuz,2,none
Sixty,Atmış,2,none
Sixty one,Atmış bir,2,none
Sixty two,Atmış iki,2,none
Sixty three,Atmış üç,2,none
Sixty four,Atmış dört,2,none
Sixty five,Atmış beş,2,none
Sixty six,Atmış altı,2,none
Sixty seven,Atmış yedi,2,none
Sixty eight,Atmış sekiz,2,none
Sixty nine,Atmış dokuz,2,none
Seventy,Yetmiş,2,none
Seventy one,Yetmiş bir,2,none
Seventy two,Yetmiş iki,2,none
Seventy three,Yetmiş üç,2,none
Seventy four,Yetmiş dört,2,none
Seventy five,Yetmiş beş,2,none
Seventy six,Yetmiş altı,2,none
Seventy seven,Yetmiş yedi,2,none
Seventy eight,Yetmiş sekiz,2,none
Seventy nine,Yetmiş dokuz,2,none
Eighty,Seksen,2,none
Eighty one,Seksen bir,2,none
Eighty two,Seksen iki,2,none
Eighty three,Seksen üç,2,none
Eighty four,Seksen dört,2,none
Eighty five,Seksen beş,2,none
Eighty six,Seksen altı,2,none
Eighty seven,Seksen yedi,2,none
Eighty eight,Seksen sekiz,2,none
Eighty nine,Seksen dokuz,2,none
Ninety,Doksan,2,none
Ninety one,Doksan bir,2,none
Ninety two,Doksan iki,2,none
Ninety three,Doksan üç,2,none
Ninety four,Doksan dört,2,none
Ninety five,Doksan beş,2,none
Ninety six,Doksan altı,2,none
Ninety seven,Doksan yedi,2,none
Ninety eight,Doksan sekiz,2,none
Ninety nine,Doksan dokuz,2,none
Hundred,Yü,2,none
