EN,LA,Formal,Article
Food,Їжа,2,none
Fruit,Фрукт,2,none
Vegetables,Овочі,2,none
Bread,Хліб,2,none
Water,Вода,2,none
Apple,Яблуко,2,none
Pineapple,Ананас,2,none
Strawberry,Полуниця,2,none
Banana,Банан,2,none
Hazelnut,Лісовий горіх,2,none
Cherry,Вишня,2,none
Apricot,Абрикос,2,none
Pear,Груша,2,none
Peanut,Арахіс,2,none
Mango,Манго,2,none
Almond,Мигдаль,2,none
Kiwi,Ківі,2,none
Coconut,Кокос,2,none
Melon,Кавун,2,none
Tangerine,Мандарин,2,none
Fig,Інжир,2,none
Grapes,Виноград,2,none
Lemon,Лимон,2,none
Peach,Персик,2,none
Orange,Апельсин,2,none
Chestnut,Каштан,2,none
Plum,Слива,2,none
Raspberry,Малина,2,none
Days,Дні,2,none
Monday,Понеділок,2,none
Tuesday,Вівторок,2,none
Wednesday,Середа,2,none
Thursday,Четвер,2,none
Friday,П'ятниця,2,none
Saturday,Субота,2,none
Sunday,Неділя,2,none
Morning,Ранок,2,none
Afternoon,Полудень,2,none
Evening,Вечір,2,none
Night,Ніч,2,none
Months,Місяці,2,none
January,Січень,2,none
February,Лютий,2,none
March,Березень,2,none
April,Квітень,2,none
May,Травень,2,none
June,Червень,2,none
July,Липень,2,none
August,Серпень,2,none
September,Вересень,2,none
October,Жовтень,2,none
November,Листопад,2,none
December,Грудень,2,none
Colours,Кольори,2,none
Black,Чорний,2,none
Blue,Синій,2,none
Brown,Коричневий,2,none
Gray,Сірий,2,none
Green,Зелений,2,none
Orange,Помаранчевий,2,none
Purple,Фіолетовий,2,none
Red,Червоний,2,none
White,Білий,2,none
Yellow,Жовтий,2,none
Numbers,Числа,2,none
One,Один,2,none
Two,Два,2,none
Three,Три,2,none
Four,Чотири,2,none
Five,П'ять,2,none
Six,Шість,2,none
Seven,Сім,2,none
Eight,Вісім,2,none
Nine,Дев'ять,2,none
Ten,Десять,2,none
Eleven,Одинадцять,2,none
Twelve,Дванадцять,2,none
Thirteen,Тринадцять,2,none
Fourteen,Чотирнадцять,2,none
Fifteen,П'ятнадцять,2,none
Sixteen,Шістнадцять,2,none
Seventeen,Сімнадцять,2,none
Eighteen,Вісімнадцять,2,none
Nineteen,Дев'ятнадцять,2,none
Twenty,Двадцять,2,none
Thirty,Тридцять,2,none
Forty,Сорок,2,none
Fifty,П'ятдесят,2,none
Sixty,Шістдесят,2,none
Seventy,Сімдесят,2,none
Eighty,Вісімдесят,2,none
Ninety,Дев'яносто,2,none
Hundred,Сто,2,none
Thousand,Тисяча,2,none
Million,Мільйон,2,none
Billion,Мільярд,2,none
Trillion,Трильйон,2,none
Quadrillion,Квадрильйон,2,none
Quintillion,Квінтильйон,2,none
Afghanistan,Афганістан,2,none
Albania,Албанія,2,none
Algeria,Алжир,2,none
Argentina,Аргентина,2,none
Armenia,Вірменія,2,none
Australia,Австралія,2,none
Austria,Австрія,2,none
Azerbaijan,Азербайджан,2,none
Bahrain,Бахрейн,2,none
Bangladesh,Бангладеш,2,none
Belarus,Білорусь,2,none
Belgium,Бельгія,2,none
Brazil,Бразилія,2,none
Bulgaria,Болгарія,2,none
Canada,Канада,2,none
China,Китай,2,none
Cuba,Куба,2,none
Croatia,Хорватія,2,none
Czechia,Чехія,2,none
Denmark,Данія,2,none
Egypt,Єгипет,2,none
England,Англія,2,none
Estonia,Естонія,2,none
Finland,Фінляндія,2,none
France,Франція,2,none
Germany,Німеччина,2,none
UK,Сполучене Королівство,2,none
Greece,Греція,2,none
Iceland,Ісландія,2,none
India,Індія,2,none
Ireland,Ірландія,2,none
Italy,Італія,2,none
Jamaica,Ямайка,2,none
Japan,Японія,2,none
Kenya,Кенія,2,none
Lithuania,Литва,2,none
Mexico,Мексика,2,none
Monaco,Монако,2,none
Morocco,Марокко,2,none
Netherlands,Нідерланди,2,none
Norway,Норвегія,2,none
Poland,Польща,2,none
Portugal,Португалія,2,none
Romania,Румунія,2,none
Saudi Arabia,Саудівська Аравія,2,none
Scotland,Шотландія,2,none
Slovakia,Словакія,2,none
South Africa,Південна Африка,2,none
Spain,Іспанія,2,none
Sweden,Швеція,2,none
Switzerland,Швейцарія,2,none
Syria,Сирія,2,none
Turkey,Туреччина,2,none
Ukraine,Україна,2,none
United Arab Emirates,Об'єднані Арабські Емірати,2,none
United States,Сполучені Штати,2,none
Vatican City,Ватикан,2,none
Yemen,Ємен,2,none
Grass,Трава,2,none
Tree,Дерево,2,none
Flower,Квітка,2,none
Dirt,Ґрунт,2,none
Seed,Насіння,2,none
Plant pot,Горщик,2,none
Watering can,Лійка,2,none
Wheelbarrow,Тачка,2,none
Hose,Шланг,2,none
Garden gnome,Садовий гном,2,none
Lawn mower,Газонокосарка,2,none
Bucket,Відро,2,none
