EN,LA,Formal,Article
Afghanistan,Афганістан,2,none
Albania,Албанія,2,none
Algeria,Алжир,2,none
Argentina,Аргентина,2,none
Armenia,Вірменія,2,none
Australia,Австралія,2,none
Austria,Австрія,2,none
Azerbaijan,Азербайджан,2,none
Bahrain,Бахрейн,2,none
Bangladesh,Бангладеш,2,none
Belarus,Білорусь,2,none
Belgium,Бельгія,2,none
Brazil,Бразилія,2,none
Bulgaria,Болгарія,2,none
Canada,Канада,2,none
China,Китай,2,none
Cuba,Куба,2,none
Croatia,Хорватія,2,none
Czechia,Чехія,2,none
Denmark,Данія,2,none
Egypt,Єгипет,2,none
England,Англія,2,none
Estonia,Естонія,2,none
Finland,Фінляндія,2,none
France,Франція,2,none
Germany,Німеччина,2,none
UK,Сполучене Королівство,2,none
Greece,Греція,2,none
Iceland,Ісландія,2,none
India,Індія,2,none
Ireland,Ірландія,2,none
Italy,Італія,2,none
Jamaica,Ямайка,2,none
Japan,Японія,2,none
Kenya,Кенія,2,none
Lithuania,Литва,2,none
Mexico,Мексика,2,none
Monaco,Монако,2,none
Morocco,Марокко,2,none
Netherlands,Нідерланди,2,none
Norway,Норвегія,2,none
Poland,Польща,2,none
Portugal,Португалія,2,none
Romania,Румунія,2,none
Saudi Arabia,Саудівська Аравія,2,none
Scotland,Шотландія,2,none
Slovakia,Словакія,2,none
South Africa,Південна Африка,2,none
Spain,Іспанія,2,none
Sweden,Швеція,2,none
Switzerland,Швейцарія,2,none
Syria,Сирія,2,none
Turkey,Туреччина,2,none
Ukraine,Україна,2,none
United Arab Emirates,Об'єднані Арабські Емірати,2,none
United States,Сполучені Штати,2,none
Vatican City,Ватикан,2,none
Yemen,Ємен,2,none
