EN,LA,Formal,Article
Food,Їжа,2,none
Fruit,Фрукт,2,none
Vegetables,Овочі,2,none
Bread,Хліб,2,none
Water,Вода,2,none
Apple,Яблуко,2,none
Pineapple,Ананас,2,none
Strawberry,Полуниця,2,none
Banana,Банан,2,none
Hazelnut,Лісовий горіх,2,none
Cherry,Вишня,2,none
Apricot,Абрикос,2,none
Pear,Груша,2,none
Peanut,Арахіс,2,none
Mango,Манго,2,none
Almond,Мигдаль,2,none
Kiwi,Ківі,2,none
Coconut,Кокос,2,none
Melon,Кавун,2,none
Tangerine,Мандарин,2,none
Fig,Інжир,2,none
Grapes,Виноград,2,none
Lemon,Лимон,2,none
Peach,Персик,2,none
Orange,Апельсин,2,none
Chestnut,Каштан,2,none
Plum,Слива,2,none
Raspberry,Малина,2,none
