EN,LA,Formal,Article
One,Один,2,none
Two,Два,2,none
Three,Три,2,none
Four,Чотири,2,none
Five,П'ять,2,none
Six,Шість,2,none
Seven,Сім,2,none
Eight,Вісім,2,none
Nine,Дев'ять,2,none
Ten,Десять,2,none
Eleven,Одинадцять,2,none
Twelve,Дванадцять,2,none
Thirteen,Тринадцять,2,none
Fourteen,Чотирнадцять,2,none
Fifteen,П'ятнадцять,2,none
Sixteen,Шістнадцять,2,none
Seventeen,Сімнадцять,2,none
Eighteen,Вісімнадцять,2,none
Nineteen,Дев'ятнадцять,2,none
Twenty,Двадцять,2,none
Thirty,Тридцять,2,none
Forty,Сорок,2,none
Fifty,П'ятдесят,2,none
Sixty,Шістдесят,2,none
Seventy,Сімдесят,2,none
Eighty,Вісімдесят,2,none
Ninety,Дев'яносто,2,none
Hundred,Сто,2,none
Thousand,Тисяча,2,none
Million,Мільйон,2,none
Billion,Мільярд,2,none
Trillion,Трильйон,2,none
Quadrillion,Квадрильйон,2,none
Quintillion,Квінтильйон,2,none
